Day,Lower_Bound,Upper_Bound,Contracted_Power,Actual_Consumption,Imbalance_Penalty,Daily_Cost
1,268.01,6114.66,3191.335,805.5699999999999,2385.7650000000003,5577.1
2,276.0,4468.95,2372.475,370.79,2001.685,4374.16
3,285.38,4245.57,2265.475,2728.33,462.855,2728.33
4,275.43,4977.72,2626.5750000000003,2807.68,181.10499999999956,2807.68
5,288.04,5028.69,2658.365,2486.63,171.73499999999967,2830.0999999999995
6,304.49,4741.22,2522.855,2791.67,268.81500000000005,2791.67
7,264.23,4868.65,2566.4399999999996,2672.51,106.07000000000062,2672.51
8,1382.37,5318.51,3350.44,1573.66,1776.78,5127.22
9,292.79,5488.37,2890.58,339.98,2550.6,5441.18
10,294.36,4445.19,2369.7749999999996,2475.66,105.88500000000022,2475.66
11,291.4,5314.61,2803.0049999999997,3202.05,399.0450000000005,3202.05
12,283.9,5206.18,2745.04,3276.02,530.98,3276.02
13,301.07,5060.72,2680.895,3307.45,626.5549999999998,3307.45
14,288.49,4058.76,2173.625,4129.66,1956.0349999999999,4129.66
15,319.57,4431.24,2375.4049999999997,361.12,2014.2849999999999,4389.69
16,276.83,4221.04,2248.935,2014.66,234.27499999999986,2483.21
17,285.71,4456.38,2371.045,2209.12,161.92500000000018,2532.9700000000003
18,306.75,7353.84,3830.295,3078.96,751.335,4581.63
19,287.2,7175.1,3731.15,3456.95,274.2000000000003,4005.3500000000004
20,668.92,5853.61,3261.265,2512.3,748.9649999999997,4010.2299999999996
21,362.57,5455.38,2908.975,2297.7,611.2750000000001,3520.25
22,277.93,6161.2,3219.565,364.13,2855.435,6075.0
23,267.44,5216.8,2742.12,368.43,2373.69,5115.8099999999995
24,272.09,4869.4,2570.745,1940.26,630.4849999999999,3201.2299999999996
25,264.53,4987.04,2625.785,350.5,2275.285,4901.07
26,259.46,7069.29,3664.375,2006.84,1657.535,5321.91
27,290.77,4266.93,2278.8500000000004,2613.87,335.0199999999995,2613.87
28,292.97,4318.83,2305.9,1838.58,467.32000000000016,2773.2200000000003
29,292.97,4318.83,2305.9,377.42,1928.48,4234.38
30,292.97,4318.83,2305.9,339.2,1966.7,4272.6
31,292.97,4318.83,2305.9,339.08,1966.8200000000002,4272.72
